=======================================================
784-50-10
Epoch 48, Loss 0.111, Train Accuracy 0.978, Validation Accuracy 0.951, Train F1-Macro 0.978, Validation F1-Macro 0.951, Train F1-Micro 0.978, Validation F1-Micro 0.951
Epoch 49, Loss 0.110, Train Accuracy 0.975, Validation Accuracy 0.952, Train F1-Macro 0.974, Validation F1-Macro 0.952, Train F1-Micro 0.975, Validation F1-Micro 0.952
Epoch 50, Loss 0.107, Train Accuracy 0.976, Validation Accuracy 0.952, Train F1-Macro 0.976, Validation F1-Macro 0.952, Train F1-Micro 0.976, Validation F1-Micro 0.952


=======================================================
784-50-30-10
Epoch 0, Loss 2.132, Train Accuracy 0.582, Validation Accuracy 0.572, Train F1-Macro 0.535, Validation F1-Macro 0.522, Train F1-Micro 0.582, Validation F1-Micro 0.522
Epoch 1, Loss 1.530, Train Accuracy 0.737, Validation Accuracy 0.740, Train F1-Macro 0.708, Validation F1-Macro 0.707, Train F1-Micro 0.737, Validation F1-Micro 0.707
Epoch 2, Loss 0.910, Train Accuracy 0.834, Validation Accuracy 0.818, Train F1-Macro 0.831, Validation F1-Macro 0.815, Train F1-Micro 0.834, Validation F1-Micro 0.815
Epoch 3, Loss 0.584, Train Accuracy 0.846, Validation Accuracy 0.854, Train F1-Macro 0.843, Validation F1-Macro 0.853, Train F1-Micro 0.846, Validation F1-Micro 0.853
Epoch 4, Loss 0.447, Train Accuracy 0.887, Validation Accuracy 0.875, Train F1-Macro 0.883, Validation F1-Macro 0.874, Train F1-Micro 0.887, Validation F1-Micro 0.874
Epoch 5, Loss 0.386, Train Accuracy 0.891, Validation Accuracy 0.890, Train F1-Macro 0.889, Validation F1-Macro 0.888, Train F1-Micro 0.891, Validation F1-Micro 0.888
Epoch 6, Loss 0.342, Train Accuracy 0.887, Validation Accuracy 0.897, Train F1-Macro 0.886, Validation F1-Macro 0.896, Train F1-Micro 0.887, Validation F1-Micro 0.896
Epoch 7, Loss 0.314, Train Accuracy 0.913, Validation Accuracy 0.904, Train F1-Macro 0.912, Validation F1-Macro 0.903, Train F1-Micro 0.913, Validation F1-Micro 0.903
Epoch 8, Loss 0.299, Train Accuracy 0.908, Validation Accuracy 0.910, Train F1-Macro 0.907, Validation F1-Macro 0.909, Train F1-Micro 0.908, Validation F1-Micro 0.909
Epoch 9, Loss 0.279, Train Accuracy 0.924, Validation Accuracy 0.915, Train F1-Macro 0.922, Validation F1-Macro 0.914, Train F1-Micro 0.924, Validation F1-Micro 0.914
Epoch 10, Loss 0.270, Train Accuracy 0.922, Validation Accuracy 0.917, Train F1-Macro 0.922, Validation F1-Macro 0.916, Train F1-Micro 0.922, Validation F1-Micro 0.916
Epoch 11, Loss 0.257, Train Accuracy 0.920, Validation Accuracy 0.919, Train F1-Macro 0.920, Validation F1-Macro 0.918, Train F1-Micro 0.920, Validation F1-Micro 0.918
Epoch 12, Loss 0.247, Train Accuracy 0.927, Validation Accuracy 0.921, Train F1-Macro 0.927, Validation F1-Macro 0.920, Train F1-Micro 0.927, Validation F1-Micro 0.920
Epoch 13, Loss 0.240, Train Accuracy 0.926, Validation Accuracy 0.923, Train F1-Macro 0.926, Validation F1-Macro 0.922, Train F1-Micro 0.926, Validation F1-Micro 0.922
Epoch 14, Loss 0.229, Train Accuracy 0.935, Validation Accuracy 0.925, Train F1-Macro 0.934, Validation F1-Macro 0.925, Train F1-Micro 0.935, Validation F1-Micro 0.925
Epoch 15, Loss 0.225, Train Accuracy 0.931, Validation Accuracy 0.927, Train F1-Macro 0.931, Validation F1-Macro 0.926, Train F1-Micro 0.931, Validation F1-Micro 0.926
Epoch 16, Loss 0.216, Train Accuracy 0.927, Validation Accuracy 0.928, Train F1-Macro 0.927, Validation F1-Macro 0.927, Train F1-Micro 0.927, Validation F1-Micro 0.927
Epoch 17, Loss 0.208, Train Accuracy 0.935, Validation Accuracy 0.929, Train F1-Macro 0.935, Validation F1-Macro 0.928, Train F1-Micro 0.935, Validation F1-Micro 0.928
Epoch 18, Loss 0.204, Train Accuracy 0.931, Validation Accuracy 0.930, Train F1-Macro 0.931, Validation F1-Macro 0.929, Train F1-Micro 0.931, Validation F1-Micro 0.929
Epoch 19, Loss 0.195, Train Accuracy 0.943, Validation Accuracy 0.931, Train F1-Macro 0.941, Validation F1-Macro 0.930, Train F1-Micro 0.943, Validation F1-Micro 0.930
Epoch 20, Loss 0.191, Train Accuracy 0.940, Validation Accuracy 0.932, Train F1-Macro 0.939, Validation F1-Macro 0.931, Train F1-Micro 0.940, Validation F1-Micro 0.931
Epoch 21, Loss 0.185, Train Accuracy 0.939, Validation Accuracy 0.934, Train F1-Macro 0.939, Validation F1-Macro 0.933, Train F1-Micro 0.939, Validation F1-Micro 0.933
Epoch 22, Loss 0.177, Train Accuracy 0.944, Validation Accuracy 0.935, Train F1-Macro 0.943, Validation F1-Macro 0.934, Train F1-Micro 0.944, Validation F1-Micro 0.934
Epoch 23, Loss 0.175, Train Accuracy 0.944, Validation Accuracy 0.935, Train F1-Macro 0.944, Validation F1-Macro 0.935, Train F1-Micro 0.944, Validation F1-Micro 0.935
Epoch 24, Loss 0.167, Train Accuracy 0.950, Validation Accuracy 0.937, Train F1-Macro 0.948, Validation F1-Macro 0.936, Train F1-Micro 0.950, Validation F1-Micro 0.936
Epoch 25, Loss 0.164, Train Accuracy 0.952, Validation Accuracy 0.938, Train F1-Macro 0.951, Validation F1-Macro 0.938, Train F1-Micro 0.951, Validation F1-Micro 0.938
Epoch 26, Loss 0.159, Train Accuracy 0.950, Validation Accuracy 0.940, Train F1-Macro 0.950, Validation F1-Macro 0.939, Train F1-Micro 0.950, Validation F1-Micro 0.939
Epoch 27, Loss 0.153, Train Accuracy 0.955, Validation Accuracy 0.941, Train F1-Macro 0.954, Validation F1-Macro 0.941, Train F1-Micro 0.955, Validation F1-Micro 0.941
Epoch 28, Loss 0.151, Train Accuracy 0.954, Validation Accuracy 0.941, Train F1-Macro 0.954, Validation F1-Macro 0.940, Train F1-Micro 0.954, Validation F1-Micro 0.940
Epoch 29, Loss 0.145, Train Accuracy 0.958, Validation Accuracy 0.943, Train F1-Macro 0.957, Validation F1-Macro 0.942, Train F1-Micro 0.958, Validation F1-Micro 0.942
Epoch 30, Loss 0.142, Train Accuracy 0.959, Validation Accuracy 0.944, Train F1-Macro 0.959, Validation F1-Macro 0.943, Train F1-Micro 0.959, Validation F1-Micro 0.943
Epoch 31, Loss 0.138, Train Accuracy 0.957, Validation Accuracy 0.944, Train F1-Macro 0.957, Validation F1-Macro 0.944, Train F1-Micro 0.957, Validation F1-Micro 0.944
Epoch 32, Loss 0.133, Train Accuracy 0.960, Validation Accuracy 0.944, Train F1-Macro 0.960, Validation F1-Macro 0.944, Train F1-Micro 0.960, Validation F1-Micro 0.944
Epoch 33, Loss 0.132, Train Accuracy 0.957, Validation Accuracy 0.944, Train F1-Macro 0.957, Validation F1-Macro 0.944, Train F1-Micro 0.957, Validation F1-Micro 0.944
Epoch 34, Loss 0.127, Train Accuracy 0.964, Validation Accuracy 0.945, Train F1-Macro 0.963, Validation F1-Macro 0.944, Train F1-Micro 0.964, Validation F1-Micro 0.944
Epoch 35, Loss 0.125, Train Accuracy 0.964, Validation Accuracy 0.945, Train F1-Macro 0.963, Validation F1-Macro 0.944, Train F1-Micro 0.964, Validation F1-Micro 0.944
Epoch 36, Loss 0.122, Train Accuracy 0.962, Validation Accuracy 0.946, Train F1-Macro 0.962, Validation F1-Macro 0.945, Train F1-Micro 0.962, Validation F1-Micro 0.945
Epoch 37, Loss 0.117, Train Accuracy 0.965, Validation Accuracy 0.946, Train F1-Macro 0.964, Validation F1-Macro 0.946, Train F1-Micro 0.965, Validation F1-Micro 0.946
Epoch 38, Loss 0.116, Train Accuracy 0.964, Validation Accuracy 0.946, Train F1-Macro 0.964, Validation F1-Macro 0.946, Train F1-Micro 0.964, Validation F1-Micro 0.946
Epoch 39, Loss 0.112, Train Accuracy 0.969, Validation Accuracy 0.946, Train F1-Macro 0.968, Validation F1-Macro 0.946, Train F1-Micro 0.969, Validation F1-Micro 0.946
Epoch 40, Loss 0.110, Train Accuracy 0.967, Validation Accuracy 0.947, Train F1-Macro 0.967, Validation F1-Macro 0.947, Train F1-Micro 0.967, Validation F1-Micro 0.947
Epoch 41, Loss 0.108, Train Accuracy 0.967, Validation Accuracy 0.947, Train F1-Macro 0.967, Validation F1-Macro 0.947, Train F1-Micro 0.967, Validation F1-Micro 0.947
Epoch 42, Loss 0.103, Train Accuracy 0.970, Validation Accuracy 0.948, Train F1-Macro 0.970, Validation F1-Macro 0.947, Train F1-Micro 0.970, Validation F1-Micro 0.947
Epoch 43, Loss 0.103, Train Accuracy 0.969, Validation Accuracy 0.948, Train F1-Macro 0.969, Validation F1-Macro 0.947, Train F1-Micro 0.969, Validation F1-Micro 0.947
Epoch 44, Loss 0.099, Train Accuracy 0.972, Validation Accuracy 0.948, Train F1-Macro 0.971, Validation F1-Macro 0.948, Train F1-Micro 0.972, Validation F1-Micro 0.948
